Year,Month,Return,Amount,CPI,Real Amount
1945,1,3.73%,103.73,17.8,5.82752809
1945,2,0.31%,104.06,17.8,5.846067416
1945,3,2.90%,107.08,17.8,6.015730337
1945,4,4.16%,111.53,17.8,6.265730337
1945,5,2.19%,113.97,17.9,6.367039106
1945,6,-1.70%,112.04,18.1,6.190055249
1945,7,0.71%,112.83,18.1,6.233701657
1945,8,7.18%,120.93,18.1,6.68121547
1945,9,4.51%,126.39,18.1,6.982872928
1945,10,3.61%,130.95,18.1,7.23480663
1945,11,2.02%,133.6,18.1,7.38121547
1945,12,4.30%,139.35,18.2,7.656593407
1946,1,0.59%,140.16,18.2,7.701098901
1946,2,-2.68%,136.41,18.1,7.536464088
1946,3,6.77%,145.64,18.3,7.958469945
1946,4,0.52%,146.4,18.4,7.956521739
1946,5,-0.34%,145.9,18.5,7.886486486
1946,6,-2.55%,142.18,18.7,7.603208556
1946,7,-1.62%,139.88,19.8,7.064646465
1946,8,-14.42%,119.7,20.2,5.925742574
1946,9,-1.87%,117.46,20.4,5.757843137
1946,10,-0.01%,117.45,20.8,5.646634615
1946,11,3.39%,121.43,21.3,5.700938967
1946,12,0.92%,122.55,21.5,5.7
1947,1,4.27%,127.78,21.5,5.943255814
1947,2,-3.67%,123.09,21.5,5.725116279
1947,3,-3.30%,119.03,21.9,5.435159817
1947,4,-1.36%,117.41,21.9,5.361187215
1947,5,3.92%,122.01,21.9,5.571232877
1947,6,6.69%,130.18,22,5.917272727
1947,7,-1.56%,128.15,22.2,5.772522523
1947,8,-2.17%,125.37,22.5,5.572
1947,9,3.03%,129.17,23,5.616086957
1947,10,-0.73%,128.22,23,5.574782609
1947,11,-1.12%,126.78,23.1,5.488311688
1947,12,-0.86%,125.69,23.4,5.371367521
1948,1,-4.45%,120.1,23.7,5.067510549
1948,2,1.92%,122.4,23.5,5.208510638
1948,3,8.19%,132.42,23.4,5.658974359
1948,4,5.33%,139.48,23.8,5.860504202
1948,5,4.59%,145.88,23.9,6.10376569
1948,6,-1.96%,143.02,24.1,5.934439834
1948,7,-2.49%,139.47,24.4,5.715983607
1948,8,-0.68%,138.52,24.5,5.653877551
1948,9,3.19%,142.94,24.5,5.834285714
1948,10,-5.10%,135.65,24.4,5.55942623
1948,11,-0.16%,135.43,24.2,5.596280992
1948,12,1.63%,137.64,24.1,5.71120332
1949,1,-3.33%,133.06,24,5.544166667
1949,2,1.49%,135.04,23.8,5.67394958
1949,3,0.41%,135.6,23.8,5.697478992
1949,4,-0.18%,135.35,23.9,5.663179916
1949,5,-4.91%,128.7,23.8,5.407563025
1949,6,6.26%,136.76,23.9,5.722175732
1949,7,4.17%,142.47,23.7,6.011392405
1949,8,1.87%,145.13,23.8,6.09789916
1949,9,3.14%,149.69,23.9,6.263179916
1949,10,1.95%,152.61,23.7,6.439240506
1949,11,3.24%,157.56,23.8,6.620168067
1949,12,2.63%,161.7,23.6,6.851694915
1950,1,2.52%,165.78,23.5,7.054468085
1950,2,1.38%,168.06,23.5,7.151489362
1950,3,3.39%,173.75,23.6,7.362288136
1950,4,3.91%,180.55,23.6,7.650423729
1950,5,2.16%,184.46,23.7,7.783122363
1950,6,-6.72%,172.06,23.8,7.229411765
1950,7,6.64%,183.48,24.1,7.613278008
1950,8,4.11%,191.02,24.3,7.86090535
1950,9,4.72%,200.03,24.4,8.19795082
1950,10,0.38%,200.79,24.6,8.162195122
1950,11,0.19%,201.18,24.7,8.144939271
1950,12,8.01%,217.3,25,8.692
1951,1,4.31%,226.66,25.4,8.923622047
1951,2,-1.11%,224.14,25.7,8.721400778
1951,3,1.93%,228.46,25.8,8.85503876
1951,4,0.63%,229.89,25.8,8.910465116
1951,5,-1.15%,227.26,25.9,8.774517375
1951,6,2.37%,232.64,25.9,8.982239382
1951,7,4.97%,244.19,25.9,9.428185328
1951,8,3.14%,251.85,25.9,9.723938224
1951,9,0.03%,251.92,26.1,9.65210728
1951,10,-2.25%,246.24,26.2,9.398473282
1951,11,3.61%,255.14,26.4,9.664393939
1951,12,3.83%,264.92,26.5,9.996981132
1952,1,-1.33%,261.39,26.5,9.863773585
1952,2,0.75%,263.35,26.3,10.01330798
1952,3,0.20%,263.89,26.3,10.0338403
1952,4,0.46%,265.1,26.4,10.04166667
1952,5,3.24%,273.7,26.4,10.36742424
1952,6,3.37%,282.92,26.5,10.67622642
1952,7,0.88%,285.41,26.7,10.68951311
1952,8,-1.11%,282.24,26.7,10.57078652
1952,9,-1.61%,277.7,26.7,10.40074906
1952,10,3.67%,287.88,26.7,10.78202247
1952,11,4.51%,300.86,26.7,11.26816479
1952,12,0.99%,303.84,26.7,11.37977528
1953,1,-0.77%,301.49,26.6,11.33421053
1953,2,0.96%,304.37,26.5,11.48566038
1953,3,-4.47%,290.76,26.6,10.93082707
1953,4,1.00%,293.67,26.6,11.04022556
1953,5,-3.11%,284.55,26.7,10.65730337
1953,6,1.91%,289.99,26.8,10.82052239
1953,7,0.90%,292.6,26.8,10.91791045
1953,8,-4.11%,280.58,26.9,10.43048327
1953,9,3.52%,290.45,26.9,10.79739777
1953,10,2.71%,298.32,27,11.04888889
1953,11,1.84%,303.79,26.9,11.29330855
1953,12,3.02%,312.98,26.9,11.63494424
1954,1,2.68%,321.36,26.9,11.9464684
1954,2,2.58%,329.66,26.9,12.25501859
1954,3,4.45%,344.33,26.9,12.80037175
1954,4,4.42%,359.56,26.8,13.41641791
1954,5,1.22%,363.95,26.9,13.52973978
1954,6,4.46%,380.18,26.9,14.1330855
1954,7,2.39%,389.28,26.9,14.47137546
1954,8,2.74%,399.94,26.9,14.86765799
1954,9,2.71%,410.78,26.8,15.32761194
1954,10,4.30%,428.46,26.8,15.98731343
1954,11,4.95%,449.68,26.8,16.77910448
1954,12,2.17%,459.43,26.7,17.2071161
1955,1,3.70%,476.45,26.7,17.84456929
1955,2,-0.44%,474.37,26.7,17.76666667
1955,3,3.81%,492.44,26.7,18.44344569
1955,4,-0.08%,492.05,26.7,18.42883895
1955,5,6.15%,522.29,26.7,19.56142322
1955,6,7.64%,562.21,26.7,21.05655431
1955,7,-0.30%,560.53,26.8,20.91529851
1955,8,4.82%,587.53,26.8,21.92276119
1955,9,-4.72%,559.77,26.9,20.80929368
1955,10,7.07%,599.32,26.9,22.2795539
1955,11,1.24%,606.74,26.9,22.55539033
1955,12,-2.39%,592.25,26.8,22.0988806
1956,1,0.95%,597.87,26.8,22.30858209
1956,2,7.21%,640.95,26.8,23.91604478
1956,3,1.48%,650.46,26.8,24.27089552
1956,4,-2.84%,631.99,26.9,23.49405204
1956,5,-0.26%,630.34,27,23.34592593
1956,6,5.75%,666.58,27.2,24.50661765
1956,7,-0.28%,664.68,27.4,24.25839416
1956,8,-3.09%,644.15,27.3,23.5952381
1956,9,-0.95%,638,27.4,23.28467153
1956,10,-0.71%,633.46,27.5,23.03490909
1956,11,1.81%,644.92,27.5,23.45163636
1956,12,-1.86%,632.91,27.6,22.93152174
1957,1,-4.00%,607.62,27.6,22.01521739
1957,2,1.62%,617.46,27.7,22.29097473
1957,3,2.64%,633.79,27.8,22.79820144
1957,4,4.16%,660.16,27.9,23.66164875
1957,5,1.95%,673.06,28,24.03785714
1957,6,2.32%,688.69,28.1,24.50854093
1957,7,-5.21%,652.84,28.3,23.06855124
1957,8,-3.74%,628.43,28.3,22.20600707
1957,9,-5.90%,591.37,28.3,20.89646643
1957,10,-1.80%,580.72,28.3,20.52014134
1957,11,0.32%,582.57,28.4,20.51302817
1957,12,2.33%,596.14,28.4,20.99084507
1958,1,0.70%,600.32,28.6,20.99020979
1958,2,2.42%,614.84,28.6,21.4979021
1958,3,0.90%,620.35,28.8,21.53993056
1958,4,3.56%,642.42,28.9,22.22906574
1958,5,2.74%,660,28.9,22.83737024
1958,6,3.07%,680.26,28.9,23.5384083
1958,7,4.05%,707.84,29,24.40827586
1958,8,2.94%,728.68,28.9,25.21384083
1958,9,4.36%,760.44,28.9,26.31280277
1958,10,3.33%,785.74,28.9,27.18823529
1958,11,2.16%,802.73,29,27.68034483
1958,12,4.25%,836.88,28.9,28.95778547
1959,1,-1.27%,826.3,29,28.49310345
1959,2,2.81%,849.48,28.9,29.39377163
1959,3,1.94%,865.93,28.9,29.96297578
1959,4,1.77%,881.22,29,30.38689655
1959,5,-0.61%,875.88,29,30.20275862
1959,6,4.23%,912.91,29.1,31.37147766
1959,7,-0.32%,910,29.2,31.16438356
1959,8,-3.70%,876.3,29.2,30.01027397
1959,9,0.18%,877.85,29.3,29.96075085
1959,10,0.67%,883.72,29.4,30.0585034
1959,11,3.46%,914.33,29.4,31.09965986
1959,12,-1.49%,900.74,29.4,30.63741497
1960,1,-3.61%,868.23,29.3,29.63242321
1960,2,-1.08%,858.87,29.4,29.21326531
1960,3,1.58%,872.48,29.4,29.67619048
1960,4,-0.62%,867.03,29.5,29.39084746
1960,5,3.99%,901.61,29.5,30.56305085
1960,6,-2.20%,881.81,29.6,29.79087838
1960,7,1.49%,894.95,29.6,30.2347973
1960,8,-2.72%,870.6,29.6,29.41216216
1960,9,-1.67%,856.03,29.6,28.91993243
