time,p1,p5,p20,p50,p80,p95,p99
0,99.99999999999999,99.99999999999999,100.0,100.0,100.0,100.00000000000001,100.00000000000001
1,65.63573605311592,79.38477407158929,95.21743095753784,109.49140674586751,122.30332195419423,134.1646692357564,147.50776568114833
2,60.45687075709738,74.38838451014743,97.75497660444653,116.66055292635384,139.2277750990883,159.5511241494377,185.5900516848782
3,62.88614840193183,73.82929626496716,99.58679026650718,128.05356306912196,150.17063670473158,191.11446952923026,211.64832574274612
4,69.07848918462436,76.32952213730036,99.60262881335359,138.95353004021516,170.59001613226673,216.9887316106712,243.83108739558426
5,68.00118284116876,79.28710517019958,98.24049285943495,150.56103098175603,190.87417405061854,251.33130776656657,286.0496844543054
6,67.7229181546853,80.6389493238389,104.1370230058692,162.93630474139573,213.59750321726906,284.5534718096458,329.9750666807571
7,68.57344589308912,77.61529037160524,110.45662000269259,176.54001562204567,237.7275888906157,309.8571528109229,390.8686586612574
8,68.58986361831084,79.34351373243324,115.33184552595496,185.86514871395448,262.1807948154421,344.1170272117792,415.41563072588946
9,60.32278791185524,75.62691318761968,122.31640144322893,208.56541416672238,292.82115419695816,387.84160632443417,426.15999249000606
10,67.09164740040224,75.45984390208893,117.33347428610291,225.8256211070839,317.2793060725571,407.8422184036481,493.62869129032936
11,72.89020344231807,79.77826638024352,112.85076908670567,232.87375147909992,351.85822344573563,468.12862055289935,533.4465800800494
12,79.05239565531429,85.30637682231642,109.79859383571001,249.84920323556693,402.293284157471,508.621574380864,603.2223817908717
13,74.72981676309439,87.69434610082409,123.32504244056318,256.680072517029,427.8438595802691,543.2436477051452,651.8166442145288
14,78.04358860237629,91.14224514530895,133.18320221910434,273.3846453241434,450.59432403256795,643.6464796278763,700.0026089461948
15,82.01527874983573,97.17613059500398,142.09801303593176,284.47733445577944,490.0898312828183,721.9778425430299,816.5659147529816
16,84.25135859378828,105.19167815969288,157.6337668262747,289.72157020900386,529.8965640003864,815.4453335869975,915.8346117009779
17,87.09203111276912,112.34395092810533,163.9930647970261,309.63399645199394,530.8571392149904,870.1056893597349,1051.7290769721135
18,98.01414611983749,120.19688859425283,178.38044504975045,307.98965717407674,570.6537329744076,931.4613135240527,1153.4280320956223
19,114.45662478814036,129.23862734349882,189.95533145764782,319.8393028217236,575.7408047572012,981.0261943295209,1084.0089294902423
20,119.60973466399156,140.54112820564362,203.2340729115992,337.32545720485507,616.7430142058334,1011.1437703329044,1128.3579297374436
21,127.5203398096648,153.15524962998046,211.2965856063329,339.9294286530486,684.8060117985283,1029.8625078050277,1167.1871499823174
22,147.3138494430616,172.12132643752832,221.84727904171083,378.9613865597258,756.103347789316,998.9188722653173,1162.5545622044517
23,150.71686475660616,183.64655496233172,240.98173956286274,401.29459925777894,787.2759058916777,1010.3757812961513,1129.7120051498828
24,186.7724833182091,201.80891665339922,260.3289143040475,443.05525043558833,799.4493461917091,1059.7998916448946,1177.404715301365
25,189.01656928639423,219.26427027985022,280.07322953969634,512.4413728896174,781.8244519550365,1088.3027312068332,1290.5788226280297
26,192.40063997463562,239.65013665188937,311.0483197477651,560.4946339927674,782.9938290069645,1034.4111435889001,1252.7644080374032
27,233.84202125605154,272.64524208408693,329.0142715835586,616.8027875464094,813.4127283251447,985.6460152931243,1101.8407155214009
28,268.46126615134426,312.68317709892784,360.1706522054363,677.3749298896546,837.6626367259861,962.0329239905776,1117.0907033632257
29,298.2331950446879,327.1078622661703,414.01510211355696,708.3625875414759,884.5022896321633,1033.386527566999,1150.7536003373796
30,347.36668507424366,381.03157622990915,442.6472566541383,748.5499965666128,940.4773039367813,1073.758129308123,1157.3023333978763
31,398.1505877284794,425.1637121711118,498.6368808961781,778.7275172872081,985.4630007164633,1134.476164622263,1272.1284530896337
32,425.6645582394672,462.9701717938858,562.765805438094,777.6004891932134,1047.4905123610445,1228.0972019899104,1452.3568315039934
33,463.98853180617823,510.36169154235245,617.92232633689,793.6352399706917,1129.4662457922698,1406.4828403373851,1648.2714469305176
34,511.1036469574498,546.5938229128672,665.5179382504346,854.2522965952459,1221.0122116925693,1515.8358394614452,1650.056446284374
35,537.1739132923503,576.2078068737486,697.8534809735077,942.4361983433245,1334.3376703350766,1646.7930417589275,1892.3381580394234
36,487.3603123931138,621.5247503951495,721.3639765491573,993.4103484142951,1465.2357450185552,1934.561727484063,2190.93434566151
37,522.8323572953532,632.7090702490835,754.2237713183849,1115.0543948776738,1589.7480958063034,2073.547724309606,2435.943851451855
38,565.2566278977966,642.6704481344392,778.5168327785194,1266.7517038656235,1759.70094268379,2326.748702241281,2553.9766328469727
39,576.0235562470081,710.8156720306146,792.8197881336893,1355.4845595862296,1916.855595073366,2347.414898362239,3252.74184872578
40,494.800119959382,744.1449727780782,865.1094010337825,1479.0961081611467,2070.1353489434346,2697.114155480658,3357.7194439153673
41,526.7929627895937,700.2760515947341,909.3673689350253,1552.369224384554,2159.7959421891755,2869.274335176927,3212.35324483296
42,575.1571423429311,689.3199265388002,981.2468715330544,1682.35316343342,2259.249774120617,3272.741782359233,3681.4480090257507
43,537.6182564509232,719.5147451889052,1056.7538197686445,1876.3259326489954,2404.068407283777,3191.225519926122,3915.315694877153
44,583.926455715334,735.8452001852493,1130.154733064059,1927.239450911932,2666.772875009013,3285.5739013269585,3626.3245724552658
45,657.4933533542201,752.367042146012,1205.9465821822916,1746.4946166570942,2956.2927658156855,3616.373444425897,3945.6329042861853
46,749.2868992722399,830.5080282071689,1218.0492150555665,1765.465952653071,3330.855865689418,4041.026322607499,4523.93964385261
47,758.932536502086,897.0286081495475,1218.4582840863277,1822.281699073508,3701.6473796271343,4578.28121842992,4841.450455739238
48,866.8313076195867,966.3413402969393,1265.5693829831653,1905.8723945994996,3644.241514924778,5341.393152176437,5655.504819750766
49,959.0237159871241,1102.2917915048843,1305.262230852671,2189.385937809274,3987.244030428802,6207.197707942994,7041.942407887497
